document_id,target_document,title_as_catalogued,author,date,language,repository,url_or_shelfmark,format,full_text_available,pages_or_extent,is_primary,edition_notes,found_by_search_string,fetched_file,ocr_error_rate
groves-christian-devotedness-1829,"Anthony Norris Groves, Christian Devotedness (1825)","Christian Devotedness, or The Consideration of Our Saviour's Precept, ""Lay not up for yourselves treasures upon earth""",Anthony Norris Groves,1825 (1st ed.); this text is the 1829 2nd ed.,en,Internet Archive / Project Gutenberg,https://archive.org/details/christiandevoted24293gut (text file 24293.txt),text (born-digital Gutenberg transcription),yes,~35 pages equivalent,yes,"2nd edition, London, James Nisbet, 1829, with Groves's new 1829 preface; public domain (pre-1930)","Anthony Norris Groves ""Christian Devotedness"" 1825 archive.org",text/groves-christian-devotedness-1829.txt,not applicable (born-digital text, not OCR)
cmml-whoweare,"CMML statement of principles [VERIFY]",Who We Are (CMML website),Christian Missions in Many Lands, Inc.,accessed 2026-09-07 (current live page),en,web (cmml.us),https://www.cmml.us/whoweare,html,yes,1 page,no,"Current institutional self-description; not an archival founding document. Treated as the organization's own authoritative statement of its purpose and the commendation principle, dated only to today.","Christian Missions in Many Lands CMML history commendation Plymouth Brethren",text/cmml-whoweare.txt,not applicable (born-digital HTML)
cmml-whatwedo,"CMML statement of principles [VERIFY]",What We Do (CMML website),Christian Missions in Many Lands, Inc.,accessed 2026-09-07,en,web (cmml.us),https://www.cmml.us/whatwedo,html,yes,1 page,no,Current institutional self-description.,"Christian Missions in Many Lands CMML history commendation Plymouth Brethren",text/cmml-whatwedo.txt,not applicable
cmml-our-history,"CMML statement of principles [VERIFY]",Our History 1921-2025 (CMML website),Christian Missions in Many Lands, Inc.,accessed 2026-09-07,en,web (cmml.us),https://www.cmml.us/our-history,html,yes,1 page,no,"Current institutional retrospective history page, citing named founding-era individuals (1894 onward) and the 1921/1971 incorporations/merger.","Christian Missions in Many Lands CMML history commendation Plymouth Brethren",text/cmml-our-history.txt,not applicable
cmml-commendation,"Brethren 'letters of commendation' form",Commendation (CMML website),Christian Missions in Many Lands, Inc.,accessed 2026-09-07,en,web (cmml.us),https://www.cmml.us/commendation,html,yes,1 page,no,"CMML's current doctrinal explanation of the commendation practice (not a facsimile of a historical commendation letter itself, which was not located this session).","""letter of commendation"" Plymouth Brethren assembly missionary meaning practice",text/cmml-commendation.txt,not applicable
cmml-what-we-believe,"CMML statement of principles [VERIFY]",What We Believe / Statement of Faith (CMML website),Christian Missions in Many Lands, Inc.,"explicitly dated 2021 (""Approved by the CMML Board of Directors, 2021""); page accessed 2026-09-07",en,web (cmml.us),https://www.cmml.us/what-we-believe,html,yes,1 page,no,"Current (2021) doctrinal statement; not necessarily identical in wording to any statement in force in 1952 when Jim Elliot was commended, though CMML's own history page traces continuous operation back to 1921/1894.",Not separately searched; found via site navigation from cmml.us/whoweare,text/cmml-what-we-believe.txt,not applicable
brethrenarchive-bookshelf-NOTFETCHED,"Brethren 'letters of commendation' form / Echoes of Service archive material",Books and Pamphlets (Plymouth Brethren Archive bookshelf page),Plymouth Brethren Archive / University of Manchester,not applicable,en,web (brethrenarchive.org),https://www.brethrenarchive.org/bookshelf/,html,no,unknown,unknown,"Page returned 0 bytes on fetch (blocked or requires JavaScript); not read for content. Flagged as a follow-up Fetcher ticket: the Christian Brethren Archive at the University of Manchester (John Rylands Library) is the named repository in the roster for Echoes of Service papers and would be the right place to find an actual specimen commendation letter.","""letter of commendation"" Plymouth Brethren assembly missionary meaning practice; ""Echoes of Service"" magazine 1872 Brethren missionary principles history",NOT FETCHED (0-byte response),n/a
tatford-that-world-may-know-NOTFETCHED,Tatford, "That the World May Know" History of Christian Brethren,Frederick A. Tatford,1982-1989 (10 vols.),en,not located online (print, Echoes of Service / Bath),NONE,print,no,10 vols.,yes (if obtained),"Named in the roster's Secondary cell as Tatford, That the World May Know. Not located as a digitized text; a search located only bookseller listings and an archival finding aid for Tatford's papers (Archives Hub), not the text itself.","Tatford ""That the World May Know"" Christian Missions in Many Lands history archive.org",NOT FETCHED,n/a
dann-father-of-faith-missions-NOTFETCHED,Dann, Father of Faith Missions (life of Groves),Anthony Norris Groves: A Study in Early Brethren Thought / ""Father of Faith Missions"",Robert Bernard Dann,2004,en,not located as full text online,NONE,print,no,unknown,no,"Named in the roster's Secondary cell. Not located as a digitized full text this session; only publisher/bookseller pages and short reviews found by search.","Anthony Norris Groves father of faith missions Dann biography",NOT FETCHED,n/a
wikipedia-jim-elliot,Background/orientation and bibliography-mining only,Jim Elliot,Wikipedia contributors,accessed 2026-09-07,en,Wikipedia,https://en.wikipedia.org/wiki/Jim_Elliot,html,yes,1 article,no,"Fetched and its References section read ONLY to mine citations to primary sources (per Procedure S step 4); its narrative text is NOT used or cited for any fact in this dossier, per Rule/trap: Wikipedia may be used only to find primary sources, never cited. Confirmed it cites Elliot, Elisabeth (1989 reprint), Shadow of the Almighty and the old Billy Graham Center Archives finding-aid URL for ""Papers of Philip James Elliot -- Collection 277"" (URL now dead).","Jim Elliot commended Plymouth Brethren assembly 1952 Portland Oregon missionary",text/NOT ADDED (narrative not usable; see note),n/a
