document_id,target_document,title_as_catalogued,author,date,language,repository,url_or_shelfmark,format,full_text_available,pages_or_extent,is_primary,edition_notes,found_by_search_string,fetched_file,ocr_error_rate
el-history-page,Evangelical Library aims/history statement,History of the Evangelical Library,Evangelical Library (institutional, unsigned),n.d.,en,Evangelical Library website,https://www.evangelical-library.org.uk/about-us/history-of-the-evangelical-library/,html,yes,1 web page,no,"Institution's own current 'About Us' history page; no exact founding date given on the page itself",WebSearch: Evangelical Library Geoffrey Williams 1945 history founding,text/el-history-page.txt,0/100 (born-digital text; not OCR)
et-el-appreciation,Evangelical Library history article,In appreciation of the Evangelical Library,Jeremy Walker,2012-04-01,en,Evangelical Times,https://www.evangelical-times.org/in-appreciation-of-the-evangelical-library/,html,yes,1 web page,no,Secondary magazine article on the Library's history and value,WebSearch: Evangelical Library Geoffrey Williams 1945 history founding,text/et-el-appreciation.txt,0/100 (born-digital text; not OCR)
wanderer-el-appreciation,Evangelical Library history article (original blog posting),In appreciation of the Evangelical Library,Jeremy Walker,2012-01-27,en,The Wanderer (Jeremy Walker's blog),https://eardstapa.wordpress.com/2012/01/27/in-appreciation-of-the-evangelical-library/,html,yes,1 web page,no,"Original blog posting later reprinted by Evangelical Times (et-el-appreciation); fetched but not separately transcribed to text/ because content duplicates et-el-appreciation",WebSearch: Evangelical Library 1945 renamed Chiltern Street,raw/wp-el-appreciation.html (not copied to text/; duplicate of et-el-appreciation),not applicable
wp-evangelical-library,Evangelical Library encyclopedia entry,Evangelical Library,Wikipedia contributors,"n.d., accessed 2026-09-07",en,Wikipedia,https://en.wikipedia.org/wiki/Evangelical_Library,html,yes,1 web page,no,Tertiary/secondary reference source; page itself flagged by Wikipedia as needing more citations,WebSearch: Evangelical Library Geoffrey Williams 1945 history founding,text/wp-evangelical-library.txt,0/100 (born-digital text; not OCR)
banneroftruth-el-appreciation,Evangelical Library history article (Banner of Truth reprint),In Appreciation of the Evangelical Library,Jeremy Walker,2012,en,Banner of Truth Trust website (US),https://banneroftruth.org/us/resources/articles/2012/in-appreciation-of-the-evangelical-library/,html,no,NONE,no,"banneroftruth.org returns HTTP 403 Forbidden to automated fetch (Cloudflare bot protection); same article content obtained instead from et-el-appreciation and wanderer-el-appreciation",WebSearch: Evangelical Library Geoffrey Williams 1945 history founding,NONE,not applicable
chl-evangelical-library,Evangelical Library entry,Evangelical Library,Christian Heritage London (institutional),n.d.,en,library.christianheritagelondon.org,https://library.christianheritagelondon.org/evangelical-library,html,no,NONE,no,"Server returned 'DEPLOYMENT_NOT_FOUND' (Vercel deployment error) to automated fetch",WebSearch: Evangelical Library 1945 renamed Chiltern Street,NONE,not applicable
bs-visit-el,A Visit to London's Evangelical Library,A Visit to London's Evangelical Library,biblicalstudies.org.uk (unsigned blog),n.d.,en,biblicalstudies.org.uk,https://biblicalstudies.org.uk/blog/a-visit-to-londons-evangelical-library/,html,no,NONE,no,"Site is behind a Cloudflare interstitial ('Just a moment...') that blocks automated fetch",WebSearch: Evangelical Library 1945 renamed Chiltern Street,NONE,not applicable
eq-1945-vol3,Evangelical Quarterly 1945 vol.3 issue (unrelated hit),The Evangelical Quarterly,various,1945,en,gospelstudies.org.uk,https://www.gospelstudies.org.uk/biblicalstudies/pdf/eq/1945-3_221.pdf,pdf,yes,1 issue,no,"Fetched (152KB PDF) but on inspection is the unrelated theological journal The Evangelical Quarterly, not a document of the Evangelical Library; not used",WebSearch: Evangelical Library Geoffrey Williams 1945 history founding,raw/eq-1945-3.pdf (not transcribed; not relevant),not applicable
ifes-history-404,History of IFES page (broken link),The History of IFES,IFES (institutional),n.d.,en,ifesworld.org,https://ifesworld.org/en/history-ifes,html,no,NONE,no,"URL returned by search engines resolves to IFES's 'Page Not Found'; superseded by ifes-together and iv-ifes-history",WebSearch: IFES International Fellowship of Evangelical Students founded 1947 history Lloyd-Jones first chairman,NONE,not applicable
ifes-together,IFES founding narrative,Together: The Story of IFES,IFES (institutional),n.d.,en,ifesworld.org,https://ifesworld.org/en/together/,html,yes,1 long-form web page,no,"IFES's own current commemorative history narrative (institutional secondary source, written well after 1947)",WebSearch: IFES International Fellowship of Evangelical Students founded 1947 history Lloyd-Jones first chairman,text/ifes-together.txt,0/100 (born-digital text; not OCR)
