document_id,target_document,title_as_catalogued,author,date,language,repository,url_or_shelfmark,format,full_text_available,pages_or_extent,is_primary,edition_notes,found_by_search_string,fetched_file,ocr_error_rate
ivcf-doctrinal-basis-1941,IVCF doctrinal basis (1941),NOT FOUND: no 1941-era doctrinal basis text located as a digitized document,,,,,"NONE",,no,,"No period (1941) or 1946/1948 doctrinal-basis or founding-charter document was located as a digitized text this session. Only IVCF/USA's CURRENT Statement of Agreement (doctrinal basis adopted by the Board of Trustees 20 Oct 2000) could be located; used in charter_abridged.md flagged as a present-day substitute, not the founding document.",WebSearch: 'InterVarsity Christian Fellowship USA 1941 founding doctrinal basis C. Stacey Woods',,
ivcf-first-convention-program-1946,First convention program (1946),NOT FOUND: no digitized 1946 Toronto convention program located,,,,,"NONE",,no,,No digitized 1946 Student Foreign Missions Fellowship/Toronto convention program or Urbana 1948 program booklet was located this session.,WebSearch: 'Urbana missions convention 1948 history Inter-Varsity first convention Toronto 1946',,
ivcf-ifes-history,General/background,InterVarsity and IFES History,InterVarsity Christian Fellowship/USA (organization),n.d. (accessed 2026-09-07),en,InterVarsity.org website,https://intervarsity.org/about-us/intervarsity-and-ifes-history,html,yes,1 web page,no,"Present-day institutional history page, decade-by-decade; used as the principal secondary narrative source for F1-F9 and S-fields.",WebSearch: 'Inter-Varsity Christian Fellowship USA 1941 founding doctrinal basis C. Stacey Woods',text/ivcf-ifes-history.txt,0/100 (born-digital HTML; no OCR)
ivcf-growing-love-1941,General/background,Growing in Love Since 1941,InterVarsity Christian Fellowship/USA (organization),"November 07, 2025 (blog post date; accessed 2026-09-07)",en,InterVarsity.org website (blog),https://intervarsity.org/blog/growing-love-1941,html,yes,1 web page,no,84th-anniversary retrospective blog post; corroborates and lightly conflicts with ivcf-ifes-history on some dates.,WebSearch: 'Inter-Varsity Christian Fellowship USA 1941 founding doctrinal basis C. Stacey Woods',text/ivcf-growing-love-1941.txt,0/100 (born-digital HTML; no OCR)
urbana-story,Urbana history/founding,About / Our Story,Urbana (InterVarsity Christian Fellowship/USA),n.d. (accessed 2026-09-07),en,Urbana.org website,https://www.urbana.org/story,html,yes,1 web page,no,"Present-day Urbana conference website's own history page; treated as secondary institutional narrative, though it reproduces short verbatim speaker quotations (1946-2015) that function similarly to primary utterances.",WebSearch: 'Urbana missions convention 1948 history Inter-Varsity first convention Toronto 1946',text/urbana-story.txt,0/100 (born-digital HTML; no OCR)
wiki-ivcf,General/background,InterVarsity Christian Fellowship,Wikipedia contributors,n.d. (accessed 2026-09-07),en,Wikipedia,https://en.wikipedia.org/wiki/InterVarsity_Christian_Fellowship,html,yes,1 web page,no,Live Wikipedia article; used for background and cross-checking dates.,WebSearch: 'Inter-Varsity Christian Fellowship USA 1941 founding doctrinal basis C. Stacey Woods',text/wiki-ivcf.txt,0/100 (born-digital HTML; no OCR)
wiki-urbana,Urbana history/founding,Urbana (conference),Wikipedia contributors,n.d. (accessed 2026-09-07),en,Wikipedia,https://en.wikipedia.org/wiki/Urbana_(conference),html,yes,1 web page,no,"Live Wikipedia article, flagged by Wikipedia itself as needing updates (2019 tag) and as relying too closely on subject-affiliated sources; used for background, the Jim Elliot 1948 attendance claim (citing Sheppard 2010), and cross-checking dates.",WebSearch: 'Urbana missions convention 1948 history Inter-Varsity first convention Toronto 1946',text/wiki-urbana.txt,0/100 (born-digital HTML; no OCR)
encyclopedia-ivcf,General/background,InterVarsity Christian Fellowship,"Larry Eskridge, in Contemporary American Religion (Gale)",n.d. (accessed 2026-09-07),en,Encyclopedia.com (reprint of Gale's Contemporary American Religion reference work),https://www.encyclopedia.com/religion/legal-and-political-magazines/intervarsity-christian-fellowship,html,yes,1 web page,no,"Scholarly reference-work entry by a named historian (Larry Eskridge, of the Institute for the Study of American Evangelicals at Wheaton); gives a differing founding date (September 1941, vs. IVCF's own November 14, 1941) -- see discrepancies.md.",WebSearch: 'Inter-Varsity Christian Fellowship USA 1941 founding doctrinal basis C. Stacey Woods',text/encyclopedia-ivcf.txt,0/100 (born-digital HTML; no OCR)
ivcf-urbana-decades,Urbana history/alumni,Urbana Through the Decades,"Alec Hill, President of InterVarsity Christian Fellowship/USA","November 8, 2012 (accessed 2026-09-07)",en,InterVarsity.org website (news),https://intervarsity.org/news/urbana-through-decades,html,yes,1 web page,no,"Signed article by IVCF's then-president, naming one alumnus per decade (1940s-2000s) with sourced biographical detail; used for the Fruit section.",WebSearch: 'Urbana missions convention 1948 history Inter-Varsity first convention Toronto 1946',text/ivcf-urbana-decades.txt,0/100 (born-digital HTML; no OCR)
ivcf-statement-agreement,SIL/WBT-style doctrinal statement (IVCF doctrinal basis; current substitute),Statement of Agreement,InterVarsity Christian Fellowship/USA (Board of Trustees),"adopted 20 October 2000 (current version; accessed 2026-09-07)",en,InterVarsity.org website (Large Group Meetings Handbook),https://intervarsity.org/handbooks/large-group/statementofagreement,html,yes,1 web page,yes,"Treated as PRIMARY: it is IVCF/USA's own current constitutional doctrinal-basis-and-purpose document, formally adopted by its Board of Trustees, though dated 2000 rather than 1941/1946/1948 -- explicitly flagged in charter_abridged.md as the nearest available substitute for a founding-era doctrinal basis, not a description of the founding-era text itself.",WebSearch: '''InterVarsity Christian Fellowship'' ''doctrinal basis'' 1941 text statement of faith',text/ivcf-statement-agreement.txt,0/100 (born-digital HTML; no OCR)
ivcf-studying-doctrinal-basis,SIL/WBT-style doctrinal statement (background on the doctrinal basis),Studying InterVarsity's Doctrinal Basis,InterVarsity Christian Fellowship/USA (organization; guide author Thomas L. Trevethan),"May 17, 2010 (accessed 2026-09-07)",en,InterVarsity.org website (news),https://intervarsity.org/news/studying-intervarsitys-doctrinal-basis,html,yes,1 web page,no,Background article about a staff-written study guide to the Doctrinal Basis; does not itself date the Basis's original 1941/1947 wording.,WebSearch: '''InterVarsity Christian Fellowship'' ''doctrinal basis'' 1941 text statement of faith',text/ivcf-studying-doctrinal-basis.txt,0/100 (born-digital HTML; no OCR)
eef-journals-summer1948-pt1,Jim Elliot/Urbana 1948 connection,"Journals of Jim Elliot: Part One, Summer 1948",Jim Elliot (journal); ed. Elisabeth Elliot,"n.d. devotional post, excerpting journal pp. 67-68 of the 1978 printed edition (accessed 2026-09-07)",en,Elisabeth Elliot Foundation website (elisabethelliot.org),https://elisabethelliot.org/resource-library/devotionals/journals-of-jim-elliot-part-one-summer-1948/,html,yes,1 web page (short excerpt of a longer copyrighted book),yes,"PRIMARY (Jim Elliot's own journal, quoted at second hand via the Foundation's devotional republication). Excerpt from The Journals of Jim Elliot (ed. Elisabeth Elliot, Fleming H. Revell, 1978), pp. 67-68. RIGHTS: copyrighted, short quotation only -- see rights/permissions_log.csv.",WebSearch: 'Jim Elliot Urbana 1948 convention attended',text/eef-journals-summer1948-pt1.txt,0/100 (born-digital HTML; no OCR)
eef-journals-summer1948-pt2,Jim Elliot/Urbana 1948 connection,"The Journals of Jim Elliot: Part Two, Summer 1948",Jim Elliot (journal); ed. Elisabeth Elliot,"n.d. devotional post (accessed 2026-09-07)",en,Elisabeth Elliot Foundation website (elisabethelliot.org),https://elisabethelliot.org/resource-library/devotionals/the-journals-of-jim-elliot-part-two-summer-1948/,html,yes,1 web page (short excerpt of a longer copyrighted book),yes,"PRIMARY (Jim Elliot's own journal, second hand). Fetched but not directly quoted in the chapter this session; retained for a follow-up pass. RIGHTS: copyrighted, short quotation only if used.",WebSearch: 'Jim Elliot Urbana 1948 convention attended',text/eef-journals-summer1948-pt2.txt,0/100 (born-digital HTML; no OCR)
ivcf-stacey-woods,Founder biography,InterVarsity Press Releases: C. Stacey Woods and the Evangelical Rediscovery of the University,InterVarsity Press (news release; quoting A. Donald MacLeod and Yvonne Woods),"July 5, 2007 (accessed 2026-09-07)",en,InterVarsity.org website (news/press),https://intervarsity.org/news/intervarsity-press--c-stacey-woods-,html,yes,1 web page,no,"Press release for MacLeod's 2007 biography of Stacey Woods, quoting the biographer and Woods's widow; gives the founding date as ""1939-1940"" -- a third variant, see discrepancies.md.",WebSearch: 'Inter-Varsity Christian Fellowship USA 1941 founding doctrinal basis C. Stacey Woods',text/ivcf-stacey-woods.txt,0/100 (born-digital HTML; no OCR)
wheaton-ivcf-collection300,Billy Graham Center Archives IVCF records finding aid,Collection 300 - InterVarsity Christian Fellowship Records,Archives of Wheaton College (Billy Graham Center),n.d.,en,Wheaton College Archives website,https://archives.wheaton.edu/repositories/4/resources/1225,html,no,finding aid,no,"BLOCKED: page returned a Cloudflare Turnstile ""Human Check"" gate (challenges.cloudflare.com) to this session's unauthenticated fetch, matching the same block found in the wycliffe-sil and wheaton-college chapters' own research sessions. See text/wheaton-ivcf-collection300.REQUEST.md.",WebSearch: 'Billy Graham Center Archives InterVarsity Christian Fellowship collection finding aid',,BLOCKED (Cloudflare Turnstile gate; no text retrieved)
macleod-stacey-woods-book,Founder biography (book-length),C. Stacey Woods and the Evangelical Rediscovery of the University,A. Donald MacLeod,2007,en,InterVarsity Press (print),ISBN not confirmed this session,print,no,book,yes,"Named as the definitive Woods biography by ivcf-stacey-woods (the press release announcing it); not located as a digitized/open text this session -- flagged for a follow-up Fetcher ticket.",WebSearch: 'Inter-Varsity Christian Fellowship USA 1941 founding doctrinal basis C. Stacey Woods',,NOT FETCHED (print only; no open digital copy located)
hunt-for-christ-university,Secondary institutional history,"For Christ and the University: The Story of Intervarsity Christian Fellowship-USA, 1940-1990","Keith Hunt and Gladys Hunt",1991 (also cited as 1992),en,print (Downers Grove: InterVarsity Press),ISBN 0830849963,print,no,book,no,"Named in the roster's Secondary cell and cited repeatedly by wiki-urbana as its principal source (pp. 127-129, 172-175, 217-218, 303-305, 356-358); not located as a digitized/open text this session -- flagged for a follow-up Fetcher ticket. All facts in this chapter drawn from it are at second hand via wiki-urbana, not independently verified against the book itself.",Bibliography mining: wiki-urbana references list,,NOT FETCHED (print only; no open digital copy located)
