document_id,target_document,title_as_catalogued,author,date,language,repository,url_or_shelfmark,format,full_text_available,pages_or_extent,is_primary,edition_notes,found_by_search_string,fetched_file,ocr_error_rate
mlj-inaugural-address-1977,"Lloyd-Jones's opening address (6 Oct 1977) [VERIFY date]",Inaugural Address at the opening of the London Theological Seminary,Martyn Lloyd-Jones,6 October 1977,en,web (institution's own site),https://www.londonseminary.org/wp-content/uploads/2023/01/MLJ_Inaugural_Address-1977.pdf,pdf (born-digital text layer; 8-page PDF containing a 32-page pamphlet reproduction),yes,32 pamphlet pages,yes,"Posted by London Seminary (LTS's current name) on its own website; the full, unabridged text of Lloyd-Jones's own opening address, dated and titled exactly as the roster's target document. This is the single most important primary document found for this institution.",London Theological Seminary 1977 prospectus aims Lloyd-Jones,text/mlj-inaugural-address-1977.txt,not applicable (born-digital PDF text layer; spot-checked against the PDF's own page images, no transcription errors observed in the sampled portions)
et-forty-years-2017,LTS Aims and Prospectus (1977) [VERIFY] / statement on refusal of degrees,Education -- Forty years of London Seminary,Evangelical Times,2017 (40th anniversary year),en,web,https://evangelical-times.org/30833/education-forty-years-of-london-seminary,html,partial (meta-description excerpt only; article body paywalled behind ET membership signup),1 article (excerpt only),no,"Full body paywalled; the page's own meta-description tag (genuinely present in the fetched HTML) quotes a short phrase from the Seminary's own constitution ('great truths recovered at the Reformation'). This is a secondary source quoting a primary document at second hand; the constitution itself was not independently located.",London Theological Seminary prospectus aims no degrees Lloyd-Jones,text/et-forty-years-2017.txt,not applicable
et-lts-2-2018,background on LTS annual thanksgiving service and principal succession,London Theological Seminary,Evangelical Times,c. 2017-2018 (references outgoing Principal Robert Strivens),en,web,https://www.evangelical-times.org/london-theological-seminary-2/,html,partial (meta-description excerpt only; article body paywalled),1 article (excerpt only),no,Full body paywalled; only the meta-description excerpt recovered.,London Theological Seminary 1977 opening Lloyd-Jones address,text/et-lts-2-2018.txt,not applicable
en-org-biblical-generation,"Hywel Jones first principal [VERIFY]",London Seminary: a biblical generation,Gary Brady,1 August 2017,en,web,https://www.e-n.org.uk/uk-news/2017-08-london-seminary-a-biblical-generation/,html,yes,1 article,no,"Evangelicals Now report on LTS's 40th-anniversary (1977-2017) annual service; names all four Principals in order (Hywel Jones, Philip Eveson, Robert Strivens, Bill James) and gives a cumulative alumni figure (400+ men trained in 40 years).",Hywel Jones first principal London Theological Seminary 1977,text/en-org-biblical-generation.txt,not applicable
christiandaily-50th-anniversary,background/founding date confirmation,"Marking 50th anniversary, London Seminary launches campaign to fund training for 50 new church pastors",Christian Daily International,n.d.,en,web,https://www.christiandaily.com/news/marking-50th-anniversary-london-seminary-launches-campaign-to-fund-training-for-50-new-church-pastors,html,yes,1 article,no,"Confirms 1977 founding and Lloyd-Jones as 'inaugural chairman' (of the Board of Trustees / Sponsoring Committee, consistent with the inaugural address's own self-description).",London Theological Seminary prospectus aims no degrees Lloyd-Jones,text/christiandaily-50th-anniversary.txt,not applicable
ls-new-look-explained,background on institutional continuity and modern course description,Our New Look Explained,Robert Strivens (then Principal),2 September 2016,en,web,https://www.londonseminary.org/blog/our-new-look-explained (also .../our-new-look-explained/),html,yes,1 article,no,"London Seminary's own blog post explaining its 2016 name change from 'London Theological Seminary' to 'London Seminary'; describes present-day course structure and ethos, explicitly traces it to 'the rich founding legacy of Dr Martyn Lloyd-Jones.' NOTE: describes the institution as of 2016, not 1977; used only for post-1977 continuity facts, not attributed back to the 1977 founding documents.",London Theological Seminary prospectus aims no degrees Lloyd-Jones,text/ls-new-look-explained.txt,not applicable
eusebeia-powell-2007,"Lloyd-Jones's opening address (6 Oct 1977) -- corroboration and context",Dr. D. Martyn Lloyd-Jones (1899-1981): A Personal Appreciation,Rev. Leigh B. Powell (orig. 1981; reprinted Eusebeia Spring 2007),Spring 2007 (orig. April 1981),en,web,https://biblicalstudies.org.uk/pdf/eusebeia/07_015.pdf,pdf (born-digital text layer),yes,23 pages (journal pp. 15-37),no (personal memoir; quotes a substantial passage from the inaugural address itself at second hand -- independently checked against mlj-inaugural-address-1977 and found to match verbatim),Hosted by biblicalstudies.org.uk / Theology on the Web for free educational use.,"London Theological Seminary" 1977 opening Lloyd-Jones address,text/eusebeia-powell-2007.txt,not applicable
wikipedia-london-seminary,background/orientation only,London Seminary,Wikipedia contributors,accessed 2026-09-07,en,Wikipedia,https://en.wikipedia.org/wiki/London_Seminary,html,yes,1 article,no,"Fetched and read for orientation and to identify further sources only, per Rule 3 (Wikipedia is never cited as a source for a fact in this book). Confirmed the 'not to be confused with London School of Theology' distinction and pointed to the 2016 name-change blog post and the 2016 Prospectus PDF (neither of which is the 1977 founding prospectus). No dossier fact is attributed to this page.",London Theological Seminary 1977 prospectus aims no degrees Lloyd-Jones,NOT USED AS A CITATION (fetched for orientation only),not applicable
ls-2016-prospectus-not-1977,LTS Aims and Prospectus (1977) [VERIFY] -- checked for a possible reprint of 1977 aims,Prospectus (2016 edition),London Seminary,2016,en,web,cited by Wikipedia as a PDF at londonseminary.org; exact current URL not resolved this session,pdf,not fetched this session,unknown,no,"Identified via a Wikipedia footnote as a 2016 Prospectus PDF (p. 29 cited for the 'Flourish' course); this is a MODERN (2016) prospectus, not the 1977 original, and was not fetched this session because it postdates the founding period and the founding-era prospectus itself remains the actual target. Flagged as a follow-up Fetcher item only if the book later wants modern-era continuity detail.",London Theological Seminary prospectus 1977 archive.org OR pdf two-year course entrance church testimony,NOT FETCHED,n/a
lts-1977-prospectus-original,LTS Aims and Prospectus (1977) [VERIFY] -- the original founding prospectus itself,NONE LOCATED,unknown,1977,en,web/print,NONE,print-only or unlocated,no,0,no,"No digitized copy of LTS's own original 1977 prospectus/aims document (as distinct from Lloyd-Jones's inaugural address, which WAS located and is the dossier's principal founding document) was found in this session's searches. See dossier F5 and discrepancies.md.",London Theological Seminary 1977 prospectus aims no degrees,NOT FOUND,n/a
