document_id,target_document,title_as_catalogued,author,date,language,repository,url_or_shelfmark,format,full_text_available,pages_or_extent,is_primary,edition_notes,found_by_search_string,fetched_file,ocr_error_rate
maf-statement-of-purpose-1945,MAF statement of purpose (1945) [VERIFY],NOT FOUND: no digitized 1945 CAMF/MAF founding statement of purpose located,,,,,"NONE",,no,,No digitized 1945 Christian Airmen's Missionary Fellowship (CAMF) incorporation document or founding statement of purpose was located this session. The nearest attested substitute is MAF-US's current Vision/Mission statement and Statement of Faith -- see charter_abridged.md.,WebSearch: 'Missionary Aviation Fellowship statement of purpose 1945 founding document CAMF',,
hitt-jungle-pilot-1959,"Hitt, Jungle Pilot (1959)",Jungle Pilot: The Gripping Story of the Life and Witness of Nate Saint,Russell T. Hitt,1959 (Harper; also 1997 Discovery House ed.),en,Internet Archive (multiple scanned copies),"https://archive.org/details/junglepilotstory0000hitt (and 3 further IA identifiers)",text (scanned/OCR, controlled digital lending),no,303 p. (1959 ed.),yes,"PRIMARY biography, named in the roster as a priority source. Attempted via the book-design-specified djvu.txt URL pattern (https://archive.org/download/<id>/<id>_djvu.txt) for all four located Internet Archive identifiers; every attempt returned HTTP 401 (Internet Archive controlled digital lending, matching the same block already logged by the wycliffe-sil chapter's research session for a different book). BLOCKED this session.",WebSearch: '"Jungle Pilot" Russell Hitt Nate Saint archive.org',,BLOCKED (HTTP 401, controlled digital lending; no text retrieved)
maf-history,General/background,History (Serving together since 1945),Mission Aviation Fellowship US (organization),n.d. (accessed 2026-09-07),en,MAF US website (maf.org),https://maf.org/about/history/,html,yes,1 web page (interactive timeline content not captured by plain-text fetch),no,"Present-day institutional history landing page; its interactive JS timeline component was not captured by this session's plain-HTML fetch, so only the page's brief introductory text is usable.",WebSearch: 'Missionary Aviation Fellowship founded 1945 Betty Greene Jim Truxton Grady Parrott Los Angeles history',text/maf-history.txt,0/100 (born-digital HTML; no OCR)
maf-betty-greene,Founder biography,Betty Greene,Mission Aviation Fellowship US (organization),n.d. (accessed 2026-09-07),en,MAF US website (maf.org),https://maf.org/about/history/betty-greene/,html,yes,1 web page,no,"Institutional biography of Betty Greene quoting her own memoir, Flying High (with Dietrich Buss), footnoted directly on the page.",WebSearch: 'Missionary Aviation Fellowship founded 1945 Betty Greene Jim Truxton Grady Parrott Los Angeles history',text/maf-betty-greene.txt,0/100 (born-digital HTML; no OCR)
wheaton-gal-plane-dream,Founder biography / archival letters,"""A Gal, A Plane & A Dream""","Emily Banas, Wheaton College Archives & Special Collections (From the Vault blog)","1 March 2022 (accessed 2026-09-07)",en,Wheaton College Archives & Special Collections website (fromthevault.wheaton.edu),https://fromthevault.wheaton.edu/2022/03/01/a-gal-a-plane-a-dream/,html,yes,1 web page,yes,"Treated as PRIMARY at second hand: an archivist-authored blog post quoting, with folder citations, Betty Greene's own 1944 HIS Magazine article, a 1946 letter, a 1966 interview, and a 1971 retirement letter, all drawn from Collection 136 (Records of Mission Aviation Fellowship), Wheaton College Archives. The richest single source located this session on MAF's founding and on women's roles within it.",WebSearch: 'Missionary Aviation Fellowship founded 1945 Betty Greene Jim Truxton Grady Parrott Los Angeles history',text/wheaton-gal-plane-dream.txt,0/100 (born-digital HTML; no OCR)
wiki-maf,General/background,Mission Aviation Fellowship,Wikipedia contributors,n.d. (accessed 2026-09-07),en,Wikipedia,https://en.wikipedia.org/wiki/Mission_Aviation_Fellowship,html,yes,1 web page,no,"Live Wikipedia article with an extensively footnoted, independently sourced ""Accidents"" section listing MAF crashes from 1967 to 2020; used as the principal source for the Sending section's casualty record beyond the 1956 Ecuador martyrdoms.",WebSearch: 'Missionary Aviation Fellowship founded 1945 Betty Greene Jim Truxton Grady Parrott Los Angeles history',text/wiki-maf.txt,0/100 (born-digital HTML; no OCR)
wiki-bettygreene,General/background,Betty Greene,Wikipedia contributors,n.d. (accessed 2026-09-07),en,Wikipedia,https://en.wikipedia.org/wiki/Betty_Greene,html,yes,1 web page,no,"Live Wikipedia article; fetched but not separately quoted this session, as maf-betty-greene and wheaton-gal-plane-dream supplied fuller and more specific material.",WebSearch: 'Missionary Aviation Fellowship founded 1945 Betty Greene Jim Truxton Grady Parrott Los Angeles history',text/wiki-bettygreene.txt,0/100 (born-digital HTML; no OCR)
mafint-history,General/background,Our History,MAF International (organization),n.d. (accessed 2026-09-07),en,MAF International website (mafint.org),https://mafint.org/about/our-history,html,yes,1 web page,no,"UK/international-branch institutional history page, giving a 1945 London registration date distinct from the US CAMF incorporation date.",WebSearch: 'Missionary Aviation Fellowship founded 1945 Betty Greene Jim Truxton Grady Parrott Los Angeles history',text/mafint-history.txt,0/100 (born-digital HTML; no OCR)
maf-vision-mission,SIL/WBT-style doctrinal statement (current substitute) / general background,About MAF (Vision/Mission),Mission Aviation Fellowship US (organization),n.d. (accessed 2026-09-07),en,MAF US website (maf.org),https://maf.org/about/vision-mission/,html,yes,1 web page,yes,"Treated as PRIMARY: MAF-US's current Vision and Mission statements, used in charter_abridged.md alongside maf-statement-of-faith as the nearest available substitute for a founding-era statement of purpose.",WebSearch: 'Missionary Aviation Fellowship statement of purpose 1945 founding document CAMF',text/maf-vision-mission.txt,0/100 (born-digital HTML; no OCR)
maf-statement-of-faith,SIL/WBT-style doctrinal statement (current substitute),Statement of Faith,Mission Aviation Fellowship US (organization),n.d. (accessed 2026-09-07),en,MAF US website (maf.org),https://maf.org/about/statement-of-faith/,html,yes,1 web page,yes,"Treated as PRIMARY: MAF-US's current, seven-point Statement of Faith, undated to 1945 -- used in charter_abridged.md as the doctrinal-basis component of the substitute charter.",WebSearch: 'Missionary Aviation Fellowship statement of purpose 1945 founding document CAMF',text/maf-statement-of-faith.txt,0/100 (born-digital HTML; no OCR)
mafau-80years,General/background,Around the World in 80 Years,MAF Australia (organization),n.d. (accessed 2026-09-07),en,MAF Australia website (maf.org.au),https://maf.org.au/around-the-world-in-80-years/?lang=au,html,yes,1 web page,no,"80th-anniversary retrospective naming all four US founders (Truxton, Parrott, Mellis, Greene) together with the UK founders (Kendon, Strong, King, Hemmings), corroborating and supplementing wiki-maf's founder list.",WebSearch: 'Missionary Aviation Fellowship founded 1945 Betty Greene Jim Truxton Grady Parrott Los Angeles history',text/mafau-80years.txt,0/100 (born-digital HTML; no OCR)
maf-nate-saint,Named alumnus biography,Nate Saint,Mission Aviation Fellowship US (organization),n.d. (accessed 2026-09-07),en,MAF US website (maf.org),https://maf.org/about/history/nate-saint/,html,yes,1 web page,no,"Institutional biography of Nate Saint, MAF's most prominent early martyr, matching the roster's own note that Nate Saint of the Auca five was MAF.",WebSearch: 'Nate Saint Missionary Aviation Fellowship Ecuador Auca Waorani pilot biography',text/maf-nate-saint.txt,0/100 (born-digital HTML; no OCR)
maf-5-martyred,Sending/casualty narrative,The Story of Operation Auca | Martyred in Ecuador,Mission Aviation Fellowship US (organization),n.d. (accessed 2026-09-07),en,MAF US website (maf.org),https://maf.org/about/history/5-martyred-missionaries/,html,yes,1 web page,no,"Institutional narrative of the 1956 Operation Auca killings, naming all five missionaries and their respective sending agencies (MAF, Gospel Missionary Union, Plymouth Brethren).",WebSearch: 'Nate Saint Missionary Aviation Fellowship Ecuador Auca Waorani pilot biography',text/maf-5-martyred.txt,0/100 (born-digital HTML; no OCR)
wiki-natesaint,General/background,Nate Saint,Wikipedia contributors,n.d. (accessed 2026-09-07),en,Wikipedia,https://en.wikipedia.org/wiki/Nate_Saint,html,yes,1 web page,no,"Live Wikipedia article; fetched but not separately quoted this session beyond background confirmation, as maf-nate-saint and maf-5-martyred supplied fuller and more specific institutional material.",WebSearch: 'Nate Saint Missionary Aviation Fellowship Ecuador Auca Waorani pilot biography',text/wiki-natesaint.txt,0/100 (born-digital HTML; no OCR)
wheaton-maf-collection176,Billy Graham Center / Wheaton Archives MAF records finding aid,Collection 176 - Mission Aviation Fellowship Records,Archives of Wheaton College,n.d.,en,Wheaton College Archives website,https://archives.wheaton.edu/repositories/4/resources/176,html,no,finding aid,no,"BLOCKED: page returned a Cloudflare Turnstile ""Human Check"" gate to this session's unauthenticated fetch, matching the same block found in the wycliffe-sil, wheaton-college, and inter-varsity-urbana chapters' own research sessions. See text/wheaton-maf-collection176.REQUEST.md. Note: the same underlying collection (Collection 136, per wheaton-gal-plane-dream's own citation) was accessed indirectly via the From the Vault blog post, which quotes several of its documents.",WebSearch: 'Missionary Aviation Fellowship statement of purpose 1945 founding document CAMF',,BLOCKED (Cloudflare Turnstile gate; no text retrieved)
keyaero-origins,General/background,The origins of the Mission Aviation Fellowship,Key.Aero (aviation history website),n.d.,en,Key.Aero website,https://www.key.aero/article/origins-mission-aviation-fellowship,html,no,,no,"BLOCKED: page returned a Bunny Shield ""Establishing a secure connection"" bot-challenge interstitial to this session's unauthenticated fetch. Not used.",WebSearch: 'Missionary Aviation Fellowship founded 1945 Betty Greene Jim Truxton Grady Parrott Los Angeles history',,BLOCKED (bot-challenge interstitial; no text retrieved)
