document_id,target_document,title_as_catalogued,author,date,language,repository,url_or_shelfmark,format,full_text_available,pages_or_extent,is_primary,edition_notes,found_by_search_string,fetched_file,ocr_error_rate
ntm-principles-boot-camp-manual-1940s,NTM principles and boot camp manual (1940s) [VERIFY],NOT FOUND: no digitized 1940s NTM training-manual text located,,,,,"NONE",,no,,No digitized 1940s NTM "boot camp" training manual or formal Principles document was located this session. Its nearest attested substitute is the 1 August 1942 Pledge and Covenant, quoted in part at second hand -- see document_id housley-founding-fathers and charter_abridged.md.,WebSearch: 'New Tribes Mission "boot camp" training manual principles statement of faith',,
brown-gold-magazine-1943-issue1,Brown Gold magazine (founding-era periodical),Brown Gold Magazine,New Tribes Mission (organization),"Issue 1, May 1943",en,NTM's own founding-era print periodical; not digitized/located online this session,NONE (quoted at second/third hand only, via ethnosca-heritage and ethnos360-namechange),print (not located digitized),no,periodical,yes,"PRIMARY (founding-era, May 1943), but only a single sentence survives in the sources fetched this session, quoted identically by two independent later NTM-family websites (ethnosca-heritage; ethnos360-namechange) -- treated as a corroborated second-hand quotation, not independently opened.",WebSearch: '"New Tribes Mission" Fundamental Principles OR "statement of faith" 1940s history Brown Gold magazine',,NOT FETCHED (print periodical; no digitized copy located)
ntm-pledge-and-covenant-1942,First convention program / founding pledge (1942),"""Pledge and Covenant"" (New Tribes Mission founding document)",Cecil Dye; Paul Fleming; Bob Williams,"1 August 1942",en,Quoted in part via a staff member's blog post, itself citing Ken Johnston's ""Story of New Tribes Mission""; original not located online this session,NONE (quoted at second/third hand only, via housley-founding-fathers),print (not located digitized in full),no,short excerpt only,yes,"PRIMARY (the founding-era pledge document itself, dated 1 August 1942), but only a partial excerpt survives in the source fetched this session, itself quoting from Johnston's ""Story of New Tribes Mission"" -- treated as a third-hand partial quotation. Used as the closest available founding-document text in charter_abridged.md.",WebSearch: 'New Tribes Mission founded 1942 Paul Fleming history boot camp Fredonia Wisconsin',,NOT FETCHED (full text not located; excerpt only, via housley-founding-fathers)
e360-founding,Founder biography,The Founding of New Tribes Mission,"Anna Wishart, in Ethnos360 Bible Institute blog","01/12/2017 (accessed 2026-09-07)",en,Ethnos360 Bible Institute website (e360bible.org),https://e360bible.org/blog/the-founding-of-new-tribes-mission/,html,yes,1 web page,no,"Institutional blog narrative of Paul Fleming's conversion and call, quoting Fleming directly on the founding (""We had no funds, no organization behind us...""); treated as secondary narrative carrying a primary quotation.",WebSearch: 'New Tribes Mission founded 1942 Paul Fleming history boot camp Fredonia Wisconsin',text/e360-founding.txt,0/100 (born-digital HTML; no OCR)
e360-founded-1942,General/background,Ethnos360: Founded In 1942 As New Tribes Mission,"Anna Wishart, in Ethnos360 Bible Institute blog","05/11/2017 (accessed 2026-09-07)",en,Ethnos360 Bible Institute website (e360bible.org),https://e360bible.org/blog/ethnos360-founded-in-1942-as-new-tribes-mission/,html,yes,1 web page,no,"Institutional account of the 2017 New Tribes Mission USA -> Ethnos360 name-change event; quotes staff speakers invoking the founders.",WebSearch: 'New Tribes Mission founded 1942 Paul Fleming history boot camp Fredonia Wisconsin',text/e360-founded-1942.txt,0/100 (born-digital HTML; no OCR)
ethnosca-heritage,General/background,Our Heritage,Ethnos Canada (organization),n.d. (accessed 2026-09-07),en,Ethnos Canada website (ethnos.ca),https://ethnos.ca/about/our-heritage/,html,yes,1 web page,no,"Institutional history page for the Canadian branch, giving Canada-specific founding dates (1947 conference; 1951 incorporation; 1969 charter) and quoting the 1943 Brown Gold magazine.",WebSearch: 'New Tribes Mission founded 1942 Paul Fleming history boot camp Fredonia Wisconsin',text/ethnosca-heritage.txt,0/100 (born-digital HTML; no OCR)
ntmuk-heritage,General/background,Our heritage,New Tribes Mission UK (organization),n.d. (accessed 2026-09-07),en,New Tribes Mission UK website (ntm.org.uk),https://www.ntm.org.uk/about/our-heritage/,html,yes,1 web page,no,"UK branch's institutional history page, closely paralleling ethnosca-heritage's wording (both quote the same Paul Fleming lines) but with different current-membership figures (3,000 vs. 2,000+) -- see discrepancies.md.",WebSearch: 'New Tribes Mission founded 1942 Paul Fleming history boot camp Fredonia Wisconsin',text/ntmuk-heritage.txt,0/100 (born-digital HTML; no OCR)
wiki-ntm,General/background,New Tribes Mission (redirects to Ethnos360),Wikipedia contributors,n.d. (accessed 2026-09-07),en,Wikipedia,https://en.wikipedia.org/wiki/New_Tribes_Mission,html,yes,1 web page,no,"Live Wikipedia article (redirects to the Ethnos360 article); used for the 1943/1944/1950/1953 casualty record and headquarters moves, each independently footnoted on the live page.",WebSearch: 'New Tribes Mission founded 1942 Paul Fleming history boot camp Fredonia Wisconsin',text/wiki-ntm.txt,0/100 (born-digital HTML; no OCR)
housley-founding-fathers,Founder biography / founding pledge,NTM Founding Fathers,"Jack and Jane Housley (Ethnos360 staff), in a personal ministry blog hosted by Ethnos360","5 July 2013 (accessed 2026-09-07)",en,Ethnos360 staff blogs (blogs.ethnos360.org),https://blogs.ethnos360.org/jack-housley/2013/07/05/ntm-founding-fathers/,html,yes,1 web page,yes,"PRIMARY at second/third hand: quotes Cecil Dye's own letters and the 1 August 1942 ""Pledge and Covenant"" signed by Dye, Fleming, and Williams, itself citing Ken Johnston's ""Story of New Tribes Mission.'' Page carries the host site's own disclaimer that personal ministry blogs do not necessarily represent official Ethnos360 policy or doctrine.",WebSearch: 'New Tribes Mission Cecil Dye party Bolivia 1943 killed missionaries first casualties',text/housley-founding-fathers.txt,0/100 (born-digital HTML; no OCR)
ethnos360-wont-come-back,Sending/casualty narrative,"""You Won't Come Back Alive""","Rosie Cochran, in Ethnos360 Magazine","Feb 07, 2017 (accessed 2026-09-07)",en,Ethnos360 website (ethnos360.org),https://ethnos360.org/stories/story/you-wont-come-back-alive-1,html,yes,1 web page,no,"Institutional magazine narrative of the 1943 Bolivia expedition and the five men's deaths, quoting Cecil Dye's own letter and widow Audrey Bacon's later words; the deepest single account of the founding-era sending cost fetched this session.",WebSearch: 'New Tribes Mission Cecil Dye party Bolivia 1943 killed missionaries first casualties',text/ethnos360-wont-come-back.txt,0/100 (born-digital HTML; no OCR)
