document_id,target_document,title_as_catalogued,author,date,language,repository,url_or_shelfmark,format,full_text_available,pages_or_extent,is_primary,edition_notes,found_by_search_string,fetched_file,ocr_error_rate
wikipedia-omf-international,General history of the CIM-to-OMF renaming and post-1964 OMF,OMF International,Wikipedia contributors,page as retrieved 2026-09-07,en,Wikipedia,https://en.wikipedia.org/wiki/OMF_International,html,yes,article (long),no,"Secondary encyclopedia article. Used for the rename-year chronology, the 1993 rename to OMF International, headquarters/structure changes, list of General Directors, and the Missiological Distinctives list. Contains an internal date discrepancy in its own 1950s chronology entry (14 October 1954) versus its 1960s chronology entry and infobox (1964); recorded in discrepancies.md.","""Overseas Missionary Fellowship"" ""China Inland Mission"" renamed 1964",text/wikipedia-omf-international.txt,n/a (web page; no OCR; tags stripped programmatically)
aim25-cim-omf-finding-aid,Archival finding aid for CIM/OMF records confirming rename date,CHINA INLAND MISSION (OVERSEAS MISSIONARY FELLOWSHIP) -- AIM25 archival catalogue description,"SOAS Library Special Collections (biographical history revised by Rachel Kemsley, RSLP AIM25 project)",revised 15 May 2000 / Mar 2002 (site content fetched 2026-09-07),en,AIM25 AtoM (mirrors SOAS Archives Hub GB 0102 CIM description),https://atom.aim25.com/index.php/china-inland-mission-overseas-missionary-fellowship-2,html,yes,1 catalogue description page,no,"Secondary archival finding-aid narrative written by the repository holding the CIM/OMF archive (SOAS). Gives the most precise date found for the rename: ""a meeting of the Mission's Overseas Council held in October 1964."" The direct Archives Hub page (archiveshub.jisc.ac.uk/data/gb102-cim) carries the same description but was BLOCKED this session by a Cloudflare interactive challenge; this AIM25 mirror was used instead.","China Inland Mission renamed Overseas Missionary Fellowship 1964",text/aim25-cim-omf-finding-aid.txt,n/a (web page; no OCR; tags stripped programmatically)
wikipedia-jo-sanders,Biography of J.O. Sanders (CIM/OMF General Director 1954-1969) for corroboration of the transition,John Oswald Sanders,Wikipedia contributors,page as retrieved 2026-09-07,en,Wikipedia,https://en.wikipedia.org/wiki/John_Oswald_Sanders,html,yes,article (short),no,"Secondary encyclopedia article. Corroborates that Sanders, Director from 1954, led the reorganization of the CIM into the OMF, and gives his tenure dates 1954-1969.","China Inland Mission renamed Overseas Missionary Fellowship 1964",text/wikipedia-jo-sanders.txt,n/a (web page; no OCR; tags stripped programmatically)
wikiquote-hudson-taylor,Corroborating note on the 1964 rename (not otherwise used for quotation),James Hudson Taylor,Wikiquote contributors,page as retrieved 2026-09-07,en,Wikiquote,https://en.wikiquote.org/wiki/James_Hudson_Taylor,html,yes,article,no,"Secondary. Fetched and read for corroboration only (""China Inland Mission (renamed as Overseas Missionary Fellowship, OMF International in 1964)""); not quoted in the dossier or chapter since it duplicates aim25 and wikipedia-omf-international without adding a new fact. Not copied into text/.","China Inland Mission name change Overseas Missionary Fellowship history omf.org",raw/wikiquote_taylor.html (raw only; not transcribed to text/, not cited),n/a
omf-org-our-story,OMF's own institutional history page (primary/institutional self-account),History of the China Inland Mission and OMF International,OMF International,current (undated institutional web page),en,omf.org,https://omf.org/about-us/our-story/,html,no,unknown,yes (would be primary/institutional if fetched),"BLOCKED this session: omf.org returns an interactive bot-check (""sgcaptcha"") redirect to every URL requested by curl, including this one, the Hong Kong Council MRT thesis page below, and every regional variant (/us/, /au/, /uk/) tried. Could not be fetched by any means available this session (WebFetch is broken per task instructions; curl with a standard and a browser-spoofed user agent both hit the same redirect).","China Inland Mission name change Overseas Missionary Fellowship history omf.org",NOT FETCHED (raw/omf_our_story.html contains only the bot-check redirect stub),n/a
omf-org-mrt-hongkong-council,Secondary/institutional-adjacent thesis excerpt quoting the OMF's own Principles and Practice signature page,The Formation Growth and Development of the Hong Kong Council of the Overseas Missionary Fellowship,unattributed (missionary research thesis hosted by OMF),undated,en,omf.org,https://omf.org/mrt-the-formation-growth-and-development-of-the-hong-kong-council-of-the-overseas-missionary-fellowship/,html,no,unknown,no,"BLOCKED this session: same omf.org bot-check as above. A web search snippet (not independently verifiable, not fetched, therefore not used as a source in this dossier) indicated the page discusses OMF Council members signing the agreement on the last page of the post-1964 'Principles and Practice of the OMF' -- this is recorded here only as a lead for a future session, not as a fact in the dossier.","site:archive.org OR web search ""Overseas Missionary Fellowship"" ""Principles and Practice""",NOT FETCHED (raw/omf_mrt_hongkong.html and omf_mrt_hongkong2.html contain only the bot-check redirect stub),n/a
archiveshub-gb102-cim,Direct SOAS Archives Hub finding aid for the CIM/OMF archive (fuller version of the aim25 record, incl. Chefoo, JHT, and photo sub-collections),China Inland Mission Archive,Archives Hub / SOAS Library,site content current,en,archiveshub.jisc.ac.uk,https://archiveshub.jisc.ac.uk/data/gb102-cim,html,no,unknown,no,"BLOCKED this session: Cloudflare interactive challenge (""Just a moment...""), on both the HTML page and the raw EAD XML export (archiveshub.jisc.ac.uk/files/soas/gb102-cim.xml). The AIM25 mirror (aim25-cim-omf-finding-aid, above) carries what appears to be the same underlying biographical-history text and was used instead.",NONE,NOT FETCHED (raw/archiveshub_gb102-cim.html and raw/gb102-cim.xml contain only the Cloudflare challenge page),n/a
wheaton-omf-cim-finding-aid,Wheaton College Archives finding aid for the North American OMF/CIM records,Collection: Overseas Missionary Fellowship (China Inland Mission) Records,Billy Graham Center Archives / Wheaton College,site content current,en,archives.wheaton.edu,https://archives.wheaton.edu/repositories/4/resources/963,html,no,unknown,no,"BLOCKED this session: the site returns a Cloudflare Turnstile ""Verify you're human"" interactive gate that cannot be completed by curl.",NONE,NOT FETCHED (raw/wheaton_omf-cim.html contains only the Turnstile gate page),n/a
soas-archives-omf-authority,SOAS name-authority record for the Overseas Missionary Fellowship,Overseas Missionary Fellowship,SOAS Library Special Collections,site content current,en,archives.soas.ac.uk,https://archives.soas.ac.uk/names/aaf646dc-054d-e020-5d48-7f11b86a5743,html,no,unknown,no,"Fetched successfully (no bot-check) but the page body is rendered entirely by client-side JavaScript; the fetched HTML contains only the site chrome and no biographical content. NOT usable for any quotation.",NONE,NOT FETCHED (content is empty of substance; raw/soas_omf_authority.html saved for the record),n/a
ia-passion-for-the-impossible-1965,"CIM/OMF's own centenary history, published 1965, the year of the rename -- the single most likely primary-adjacent narrative source for this coda",A Passion for the Impossible: The China Inland Mission 1865-1965,Leslie T. Lyall,1965,en,Internet Archive,https://archive.org/details/passionforimposs0000lesl,pdf + OCR text (djvu.txt exists per item metadata),no (access-restricted; controlled digital lending only),unknown (djvu.txt file listed at 356KB per item metadata),yes (would be primary/institutional narrative if accessible),"BLOCKED this session: item is access-restricted on Internet Archive (collections: internetarchivebooks, inlibrary, printdisabled). Direct download of the listed _djvu.txt file returns HTTP 401 Authorization Required; the book requires borrowing via a logged-in IA account, which is not available in this session. A second IA identifier for the same title (passionforimposs0000lesl_y2o3) is equally access-restricted. A third identifier that superficially matched by title search (212thepassionfortheimpossible) was fetched and found to be an unrelated 1978 work (Osho/Rajneesh discourse transcripts) coincidentally sharing the title phrase; not used.","site:archive.org ""Overseas Missionary Fellowship"" / archive.org title search ""Passion for the Impossible""",text/ia-passion-for-the-impossible-1965.REQUEST.md,n/a
