document_id,target_document,title_as_catalogued,author,date,language,repository,url_or_shelfmark,format,full_text_available,pages_or_extent,is_primary,edition_notes,found_by_search_string,fetched_file,ocr_error_rate
pbi-hoping-nothing-1950,Prairie catalog / prospectus (1920s-1940s),"Hoping For Nothing: The Miracle of the Prairie Bible Institute",Philip E. Howard Jr. (reprinted article) and L. E. Maxwell (Further Sketch of History),ca. 1948-1950,en,Internet Archive,https://archive.org/details/P007221,text (OCR),yes,23+ pp pamphlet,yes,"Prairie Press pamphlet; reprints Howard's 2 Sept 1945 Sunday School Times Young People's Paper article plus Maxwell's own historical sketch and a 1948-49 school calendar",Prairie Bible Institute catalog 1930,text/pbi-hoping-nothing-1950.txt,not sampled (typed/clean OCR; no image comparison performed this session; text is legible and coherent)
pbi-first-things-first-1947,Prairie catalog / prospectus (1920s-1940s),"First Things First: Beginnings back of ""Hope for Nothing""",Hector Kirk (introduced by L. E. Maxwell),1947,en,Internet Archive,https://archive.org/details/P004753,text (OCR),yes,23 pp pamphlet,yes,"Prairie Press pamphlet; Kirk family's own account of the 1921-22 origin of the Bible classes and Maxwell's arrival",Prairie Bible Institute constitution Three Hills 1922,text/pbi-first-things-first-1947.txt,not sampled (typed/clean OCR; no image comparison performed this session; text is legible and coherent)
pbi-prairian-1962,Prairie catalog / prospectus (1920s-1940s),"Prairian, 1962 - Prairie Bible Institute (Three Hills, Alta.) - 15-May",Prairie Bible Institute Senior Class,1962,en,Internet Archive,https://archive.org/details/N026647,text (OCR),yes,large yearbook (photographs predominate),no,"Institutional yearbook, not a founding document; used only for the school motto and a Kirk/Maxwell biographical note",Prairie Bible Institute rules dating,text/pbi-prairian-1962.txt,not formally sampled; OCR is legible in caption/narrative blocks used, badly garbled in decorative/photo-caption blocks not used
pbi-servants-1954,Prairie catalog / prospectus (1920s-1940s),"Servants unto all, 1956 - Prairie Bible Institute (Three Hills, Alta.) - 1953/54",Prairie Bible Institute,1954,en,Internet Archive,https://archive.org/details/N026645,text (OCR),yes,yearbook (photographs predominate),no,"Institutional yearbook; used for daily-life (gratis work, rising-bell to lights-out) and named teacher list",Prairie Bible Institute rules dating,text/pbi-servants-1954.txt,not formally sampled; OCR legible in narrative blocks used
pbi-prairian-1975,Prairie catalog / prospectus (1920s-1940s),Prairian 1975,Prairie Bible Institute,1975,en,Internet Archive,https://archive.org/details/prairian1975thre,text (OCR),yes,yearbook (photographs predominate),no,"Institutional yearbook; alumna's account of discipline learned at Prairie applied on the mission field",Prairie Bible Institute rules dating,text/pbi-prairian-1975.txt,not formally sampled; OCR legible in narrative blocks used
pbi-memories-1956,Prairie catalog / prospectus (1920s-1940s),"Memories, 1956 - Prairie Bible Institute (Three Hills, Alta.) - 1955/56",Prairie Bible Institute,1956,en,Internet Archive,https://archive.org/details/N026646,text (OCR),yes,yearbook (photographs predominate),no,"NEEDS_RETRANSCRIPTION: OCR is almost entirely garbled (decorative scrapbook layout defeated the OCR engine); fetched but not used for any quotation this session",Prairie Bible Institute rules dating,raw/N026646_djvu.txt,"very high, well above 5/100 words; not usable, see edition_notes"
pbi-search-questions-1932,"Prairie catalog / prospectus (1920s-1940s); Maxwell, Born Crucified (1945)","Search Questions: First and Second Years",Prairie Bible Institute,1932,en,WorldCat (via WebSearch summary only),NONE,print-only (not digitized),no,unknown,yes,"Named by a WebSearch results summary as a 1932 Prairie Bible Institute publication describing the school's distinctive 'search question' Bible-study method; no digitized copy or library record was independently opened this session; not fetched",Prairie Bible Institute catalog 1930; search question method,NONE,
pbi-constitution,Prairie Constitution [VERIFY],Prairie Bible Institute Constitution,Prairie Bible Institute,1946 (per Wikipedia's mention of a 1946 incorporating statute; not independently confirmed),en,"Alberta Queen's Printer / provincial legislative record",NONE,unknown,no,unknown,yes,"No digitized text of any Prairie Bible Institute constitution, incorporating statute, or provincial charter was located this session; Alberta legislative archives were not searched directly (out of scope of the repositories reachable this session)",Prairie Bible Institute constitution Three Hills 1922,NONE,
pbi-born-crucified-1945,"Maxwell, Born Crucified (1945, check renewal)",Born Crucified,L. E. Maxwell,1945,en,Internet Archive,https://archive.org/details/BornCrucifiedByL.e.Maxwell,MOBI only (no OCR text file),no,191 pp (per secondary description),yes,"Only a .mobi ebook file is present at this IA item, with no djvu.txt or readable text derivative; a second IA item (identifier borncrucified0000maxw) is a controlled-digital-lending scan with all text/PDF derivatives marked private/access-restricted; full text not obtained this session",Maxwell Born Crucified,NONE,
pbi-born-crucified-lending,"Maxwell, Born Crucified (1945, check renewal)",Born Crucified,L. E. Maxwell,1945,en,Internet Archive (Open Library controlled digital lending),https://archive.org/details/borncrucified0000maxw,scanned images / lending PDF,no,unknown,yes,"access-restricted-item: true; djvu.txt and PDF derivatives return HTTP 403; not obtained this session",Maxwell Born Crucified,NONE,
