document_id,target_document,title_as_catalogued,author,date,language,repository,url_or_shelfmark,format,full_text_available,pages_or_extent,is_primary,edition_notes,found_by_search_string,fetched_file,ocr_error_rate
three-changes-1856,"Boyce, Three Changes in Theological Institutions (1856)",Three Changes in Theological Institutions,James P. Boyce,1856-07-31,en,Founders Ministries (founders.org),https://founders.org/library/three-changes-in-theological-institutions/,html,yes,unpaginated web transcription,yes,"Original pamphlet: Greenville S.C. C. J. Elford's Book and Job Press 1856. This is a modern online transcription; no page markers in source.",`Boyce "Three Changes in Theological Institutions"`,three-changes-1856.txt,0 (clean modern transcription; not independently re-OCR'd)
three-changes-archiveorg-search,"Boyce, Three Changes in Theological Institutions (1856)",Three Changes in Theological Institutions,James P. Boyce,1856,en,Internet Archive,NONE,,no,,yes,"No standalone Internet Archive scan of the 1856 pamphlet itself was located this session; the address is however reprinted at length inside the Broadus Memoir (document_id memoir-boyce-broadus-1893), which is on Internet Archive.",`Boyce "Three Changes in Theological Institutions" 1856 archive.org full text`,,
abstract-of-principles-1858,"Abstract of Principles (1858)",1858 Abstract of Principles The Southern Baptist Theological Seminary,Basil Manly Jr. (principal drafter) with J. P. Boyce J. A. Broadus and William Williams,1858,en,New Orleans Baptist Theological Seminary -- Baptist Center for Theology and Ministry,https://nobts.edu/baptist-center-theology/confessions/1858_Abstract_of_Principles.pdf,pdf,yes,4 pages,yes,"Modern PDF reproduction of the full 1858 text (20 articles plus the signing clause from the seminary's fundamental laws); no shelfmark for the 1858 original given on this page.",`"Abstract of Principles" 1858 Southern Baptist Theological Seminary`,abstract-of-principles-1858.txt,0 (clean modern PDF text extraction; not OCR)
abstract-sbts-official,Abstract of Principles official SBTS page,Abstract of Principles,The Southern Baptist Theological Seminary,1858,en,sbts.edu,https://www.sbts.edu/abstract-of-principles/,html,yes,,no,"Seminary's own current page presenting the Abstract; used only to corroborate, not cited for content beyond what nobts.edu PDF already gave.",`"Abstract of Principles" 1858 Southern Baptist Theological Seminary full text`,,
fundamental-laws-1858,Fundamental Laws (1858),Fundamental Laws of the Southern Baptist Theological Seminary,Southern Baptist Convention / founding trustees,1858,en,SBTS Archives (archives.sbts.edu / digital.library.sbts.edu),NONE,,no,,yes,"Searched digital.library.sbts.edu and archives.sbts.edu directly by curl; no full digitized text of the separate 1858 Fundamental Laws document was located this session (distinct from the Abstract of Principles, which is one clause within it). The professor-signing clause that opens the Abstract of Principles text is itself drawn from the Fundamental Laws, per the NOBTS page's own framing sentence.",`"Fundamental Laws" Southern Baptist Theological Seminary 1858`,,
memoir-boyce-broadus-1893,Memoir of James Petigru Boyce (1893),"Memoir of James Petigru Boyce, D.D., LL.D., late president of the Southern Baptist Theological Seminary, Louisville, Ky.",John A. Broadus,1893,en,Internet Archive,https://archive.org/details/memoirofjamespet00broa,html/text,yes,"xvi 371 pp. (this IA copy's OCR text file is incomplete, breaking off at printed p. 165)",yes,"New York: A. C. Armstrong and Son 1893. This identifier's djvu.txt truncates mid-Chapter X; used for Chapters I-X (cleaner OCR for those pages) alongside memoir-boyce-broadus-1893-cont below for the rest of the book.",`Broadus "Memoir of James Petigru Boyce" archive.org`,memoir-boyce-broadus-1893.txt (raw/memoir-boyce-broadus.txt),"~1-2 per 100 words on sampled pages (long-s and minor character misreads; e.g. ""draw np"" for ""draw up""; three spot-checked passages compared against the reflowed OCR text, not the original page images, which were not separately available this session)"
memoir-boyce-broadus-1893-cont,Memoir of James Petigru Boyce (1893) -- full scan,"Memoir of James Petigru Boyce, D.D., LL.D., late president of the Southern Baptist Theological Seminary, Louisville, Ky.",John A. Broadus,1893,en,Internet Archive (Google Books scan),https://archive.org/details/memoirjamespeti00broagoog,html/text,yes,xvi 371 pp. (complete scan),yes,"Same 1893 edition, different scan/identifier, used for material past printed p. 165 not present in the memoir-boyce-broadus-1893 file (Chapter XI onward: first sessions, later career, missionary correspondence).",`Broadus "Memoir of James Petigru Boyce" archive.org`,memoir-boyce-broadus-1893-cont.txt (raw/memoir-boyce-broadus-google.txt),"~3-5 per 100 words on sampled pages (noisier OCR than the other copy for shared pages, e.g. ""Introdactlon"" for ""Introduction"", ""ChamblisB"" for ""Chambliss""; three spot-checked passages compared against the reflowed OCR text, not the original page images)"
digital-library-sbts-search,SBTS digitized archive,Southern Baptist Theological Seminary digital archives,SBTS,various,en,digital.library.sbts.edu,NONE,,no,,no,"Attempted direct curl to digital.library.sbts.edu; the site did not return a usable document index within the fetch window used this session (curl to the root domain returned no specific document listing reachable without interactive browsing). No documents were pulled directly from this repository this session; the SBTS-hosted Abstract of Principles content was instead obtained via the NOBTS reproduction and the SBTS official page above.",`digital.library.sbts.edu southern baptist seminary`,,
wills-history-2009,"Wills, Southern Baptist Theological Seminary 1859-2009",Southern Baptist Theological Seminary 1859-2009,Gregory A. Wills,2009,en,WorldCat / print,NONE (not digitized; in-copyright monograph),,print,no,"Secondary institutional history named in the roster. Not digitized/openly available; not consulted this session. Recorded per Scout protocol as a located-but-unread secondary source.",roster secondary-source cell,,
sbts-archives-abstract-development,"Development and Role of the Abstract of Principles",The Development and Role of the Abstract of Principles,SBTS Archives,n.d.,en,archives.sbts.edu,https://archives.sbts.edu/sbts-history/the-development-and-role-of-the-abstract-of-principles/,html,yes,,no,"Secondary institutional web page; consulted only to locate primary sources (per Scout step 4), not read for narrative content used in the dossier.",`"Abstract of Principles" 1858 Southern Baptist Theological Seminary full text`,,
