document_id,target_document,title_as_catalogued,author,date,language,repository,url_or_shelfmark,format,full_text_available,pages_or_extent,is_primary,edition_notes,found_by_search_string,fetched_file,ocr_error_rate
sturm1538-ghi,"Sturm, De literarum ludis recte aperiendis (1538)",Johannes Sturm: The Correct Opening of Elementary Schools of Letters (1538),Johannes Sturm (trans. Lewis W. Spitz and Barbara Sher Tinsley),1538 (orig.); 1995 (translation); page accessed 2026-09-07,en,German History Intersections (German Historical Institute Washington),https://germanhistory-intersections.org/en/knowledge-and-education/ghis:document-134,html (born-digital),yes,"2 excerpted pages of ~2200 words, from a 429pp. book",yes,"English translation excerpt (pp. 71-72, 73-77) of Sturm's own 1538 Latin treatise, reproduced with permission from Spitz and Tinsley, Johann Sturm on Education (Concordia, 1995); the site also cites the original Latin as printed in Vormbaum 1860 vol.1 pp.653-55.","""De literarum ludis recte aperiendis"" Sturm Strasbourg gymnasium 1538 ordinance",text/sturm1538-ghi.txt,not applicable (born-digital; no OCR)
sturm1538-latin-archiveorg,"Sturm, De literarum ludis recte aperiendis (1538, Latin original)",De literarum ludis recte aperiendis liber. Ioannis Sturmij,Johann Sturm,1538,la,Internet Archive (Google Books scan),https://archive.org/details/bub_gb_-QcSFy_wFZEC,text (djvu OCR) and pdf,yes,short pamphlet (~5600 OCR lines incl. front matter),yes,"Latin original located and downloaded (djvu text) this session but NOT used for any quote or the charter abridgement: translating Latin from scratch risks error, and a vetted English translation of the same document (sturm1538-ghi, Spitz/Tinsley) was already found and is used instead. Flagged as follow-up: a competent Latin reader should abridge this text directly for a fuller charter section.","""De literarum ludis recte aperiendis"" Sturm Strasbourg gymnasium 1538 ordinance",raw/sturm1538_latin_djvu.txt (downloaded; not promoted to text/),not sampled (not used for quotes)
spitz-tinsley-1995-book,Full published translation collection (Spitz and Tinsley),Johann Sturm on Education: The Reformation and Humanist Learning,Lewis W. Spitz; Barbara Sher Tinsley,1995,en,Concordia Publishing House (print); not found digitized in an openly accessible full-text repository,NONE,print,no,429 pp.; roster's own Secondary-sources cell names this as copyrighted,no,Not located as a full digitized text this session (WorldCat/library holdings only); only the short excerpt reproduced (with permission) on germanhistory-intersections.org (document sturm1538-ghi) was accessible and is used. Do not treat sturm1538-ghi as the complete book.,"Spitz Tinsley ""Johann Sturm on Education"" 1995 archive.org",NOT FETCHED (full book not digitized/openly accessible),n/a
vormbaum1860-vol1,"Latin/German school ordinance text, as printed in Vormbaum vol.1",Die evangelischen Schulordnungen des sechzehnten Jahrhunderts (Evangelische Schulordnungen vol. 1),Reinhold Vormbaum (ed.),1860,de/la,Bayerische Staatsbibliothek / MDZ (digitale-sammlungen.de),https://www.digitale-sammlungen.de/en/details/bsb10764272,pdf/images (MDZ viewer),unknown (viewer page fetched; direct OCR/plain-text download link not located this session),,yes,"This is the correct volume (16th century) cited by germanhistory-intersections.org for the Latin original, pp. 653-55. NOT fetched as full text this session (MDZ download-options page was reached but a direct text/PDF file was not pulled down in the time available). Flagged as follow-up.","Vormbaum ""Evangelische Schulordnungen"" 1860 archive.org Strassburg Schulordnung 1538",NOT FETCHED (details page only: raw/mdz_bsb10764272.html),n/a
vormbaum1863-vol2-wrong-volume,(mistaken fetch attempt: NOT the 1538 document),"Die evangelischen Schulordnungen des siebzehnten Jahrhunderts (Evangelische Schulordnungen, Zweiter Band)",Reinhold Vormbaum (ed.),1863,de,Internet Archive (Google Books scan),https://archive.org/details/bub_gb_kS1DAQAAMAAJ,text (djvu OCR),yes,,no,"Downloaded by this session in error while searching for the 1538 Strasbourg ordinance: this is Volume 2 (17th century school ordinances), not Volume 1 (16th century, which contains the Sturm/Strasbourg material). Grep of the fetched OCR for ""Strassburg"" returned zero hits, consistent with this being the wrong volume. Kept in raw/ and logged here so the dead end is documented, not repeated.","Vormbaum ""Evangelische Schulordnungen"" 1860 archive.org Strassburg Schulordnung 1538",raw/vormbaum1860_djvu.txt (mislabeled filename; content is actually vol. 2/1863),not applicable (not used)
calvin-psalms-preface,Calvin's autobiographical account of going to Strasbourg (background/lineage only; not a Strasbourg Academy founding document),Commentary on the Book of Psalms: The Author's Preface,John Calvin (trans. Calvin Translation Society),original preface 1557; this translation 1845-1849,en,Internet Archive,https://archive.org/details/commentaryonbook01calvuoft,text (djvu OCR),yes,preface only transcribed (~6000 words of ~34000-line full scan),yes,"Calvin's own primary account of being drawn by Bucer to Strasbourg after leaving Geneva, and of expounding the Psalms in his small school there. Used only to document the Calvin-Strasbourg-Geneva lineage and the why included note for this chapter; it is NOT a Strasbourg Academy founding document and no fact about the Academy's own admission, curriculum, or rules is drawn from it.","Calvin preface commentary Psalms ""Strasbourg"" teach lecture 1538 archive.org translation",text/calvin-psalms-preface.txt,"not sampled (spot-checked; legible; a few running-head roman numerals misread by OCR, noted in file header)"
museeprotestant-gymnase,Background/orientation on the Gymnase,Jean Sturm gymnasium,Musee virtuel du protestantisme (Fondation Pasteur Eugene Bersier),n.d. (accessed 2026-09-07),en,web (museeprotestant.org),https://museeprotestant.org/en/notice/gymnase-jean-sturm/,html,yes,1 short article (~120 words),no,Secondary museum website. Used only for background facts (site = former Dominican monastery; Sturm headmaster to 1581; Bucer/Calvin/Capito/Hedion taught there; 1566/1621 upgrades) cited as SECONDARY.,Strasbourg Gymnasium Sturm 1538 history,text/museeprotestant-gymnase.txt,not applicable (born-digital; no OCR)
museeprotestant-sturm-bio,Background biography of Sturm,Johannes Sturm (1507-1589),Musee virtuel du protestantisme (Fondation Pasteur Eugene Bersier),n.d. (accessed 2026-09-07),en,web (museeprotestant.org),https://museeprotestant.org/en/notice/jean-sturm-1507-1589/,html,yes,1 article (~750 words),no,"Secondary museum website. Used only for background biographical facts cited as SECONDARY; bibliography on the page names Schmidt 1855, Rott 1975, Arnold/Collonges 2007 as further scholarly sources, none fetched this session.","""Johann Sturm"" Strasbourg gymnasium education classical scholars quiz history archive.org",text/museeprotestant-sturm-bio.txt,not applicable (born-digital; no OCR)
schmidt1855-gallica,Charles Schmidt's 1855 scholarly biography of Sturm (Geneva-parallel source; not fetched),"La vie et les travaux de Jean Sturm, premier recteur du gymnase et de l'Academie de Strasbourg",Charles Schmidt,1855,fr,Gallica (Bibliotheque nationale de France),https://gallica.bnf.fr/ark:/12148/bpt6k5787723g.texteImage,images (Gallica viewer; OCR text availability not confirmed this session),unknown,,"yes (scholarly history quoting primary documents, analogous to Borgeaud 1900 for geneva-academy)","Located this session (Gallica catalog record found) but NOT fetched or read: this is the single most promising document for a future session, being the close parallel to the Borgeaud 1900 source used for the Geneva chapter (a scholarly 19th-century biography built from archival material, by an author who was himself later director of the Strasbourg Protestant Gymnasium). Flagged as the top follow-up target.","Charles Schmidt ""La vie et les travaux de Jean Sturm"" 1855 archive.org",NOT FETCHED,n/a
wikipedia-jean-sturm-gymnasium,Background/orientation only,Jean Sturm Gymnasium,Wikipedia contributors,accessed 2026-09-07,en,Wikipedia,https://en.wikipedia.org/wiki/Jean_Sturm_Gymnasium,html,yes,1 article,no,"Not used for any dossier fact per Rule 3 (secondary/tertiary encyclopedia articles are for orientation only). Consulted only via WebSearch snippets, not fetched in full.",Strasbourg Gymnasium Sturm 1538 history archive.org full text,NOT FETCHED (WebSearch snippets only; Wikipedia never citable per Rule 3),n/a
