document_id,target_document,title_as_catalogued,author,date,language,repository,url_or_shelfmark,format,full_text_available,pages_or_extent,is_primary,edition_notes,found_by_search_string,fetched_file,ocr_error_rate
machen-pcahistory,"Machen, Westminster Theological Seminary: Its Purpose and Plan (address, 25 Sept 1929)","September 25: Machen's Plan for Westminster (1929)",J. Gresham Machen (address); PCA Historical Center (compiler),2017-09-25 (post date); address 1929-09-25,en,PCA Historical Center -- This Day in Presbyterian History,https://thisday.pcahistory.org/2017/09/october-10/,html,yes,~780 words excerpted (original spans pp. 6-9 of The Presbyterian),yes,"Verbatim excerpt of the opening portion of Machen's address as reprinted by a Presbyterian historical-society blog which cites the original periodical page range; original periodical not independently located this session",Machen 1929 opening address seminary,text/machen-pcahistory.txt,0/100 (born-digital HTML; no OCR)
machen-opctoday,"Machen, Westminster Theological Seminary: Its Purpose and Plan (address, 25 Sept 1929)","September 25 Today in OPC History: Westminster Theological Seminary",J. Gresham Machen (address); Orthodox Presbyterian Church (compiler),2022 (page date); address 1929-09-25,en,Orthodox Presbyterian Church website,https://opc.org/today.html?history_id=39,html,yes,~230 words excerpted,yes,"Verbatim block quotation of the closing portion of Machen's address on the OPC's own history page",Machen 1929 opening address seminary,text/machen-opctoday.txt,0/100 (born-digital HTML; no OCR)
machen-wscal,"Machen, Westminster Theological Seminary: Its Purpose and Plan (address, 25 Sept 1929)","Preparing Specialists in the Bible",J. Gresham Machen (quoted); Westminster Seminary California (author),2020-05-18 (page date); address 1929-09-25,en,Westminster Seminary California website,https://www.wscal.edu/resources/article/preparing-specialists-in-the-bible/,html,yes,~105 words excerpted (itself contains an internal ellipsis),yes,"Verbatim block quotation of the 'school for specialists' passage of Machen's address",Westminster Theological Seminary Its Purpose and Plan Machen 1929 full text,text/machen-wscal.txt,0/100 (born-digital HTML; no OCR)
machen1929-address,"Machen, Westminster Theological Seminary: Its Purpose and Plan (address, 25 Sept 1929) -- full text",The Presbyterian 99 (October 10 1929) 6-9,J. Gresham Machen,1929-10-10,en,NONE (composite of the three rows above),NONE,text,no,4 printed pages in original; only ~1,060 words recovered as verbatim excerpts,yes,"Composite working file assembled from machen-pcahistory + machen-wscal + machen-opctoday; the complete original periodical page or a scan was not located on Internet Archive, HathiTrust, Google Books, or Princeton Theological Commons this session -- BLOCKED, print/microform only as far as located",Westminster Theological Seminary Its Purpose and Plan Machen 1929 full text,text/machen1929-address.txt,n/a (assembled, not independently transcribed)
presbyterian-periodical-1929,The Presbyterian (weekly periodical) volume 99 1929 issues of Oct 3 and Oct 10,The Presbyterian,,1929,en,Internet Archive; HathiTrust; Google Books; Princeton Theological Commons,NONE,print-only as far as located,no,n/a,yes,"No digitized run of The Presbyterian (Philadelphia weekly) for 1929 located in any general repository searched this session",archive.org 'The Presbyterian' 1929 volume 99 weekly religious newspaper,,
stonehouse1951-what-is-christianity,What Is Christianity? and Other Addresses (ed. Ned B. Stonehouse) -- reprints the 1929 address,What Is Christianity? and Other Addresses,J. Gresham Machen; ed. Ned B. Stonehouse,1951,en,WorldCat; publisher Eerdmans,NONE,print-only as far as located; in copyright,no,n/a,yes,"Cited by pcahistory.org and This Day in Presbyterian History as a reprint location; not located as a digitized full text (in copyright) this session",Westminster Theological Seminary catalogue 1929-1930,,
hart2004-shorter-writings,J. Gresham Machen: Selected Shorter Writings (ed. D. G. Hart) -- reprints the 1929 address at pp. 187-194,J. Gresham Machen: Selected Shorter Writings,J. Gresham Machen; ed. D. G. Hart,2004,en,WorldCat; publisher P&R; readmachen.com bibliography,https://www.readmachen.com/article/1929/westminster-theological-seminary-its-purpose-and-plan/,html (bibliography record only; no full text),no,pp. 187-194 of the 2004 volume,yes,"readmachen.com fetched and confirmed as a bibliography record only (no full text of this article on the site's /fulltext/ index); the book itself is in copyright and not located as a digitized full text this session",Machen "Westminster Theological Seminary" opening address September 1929 archive.org,raw/readmachen_purpose_plan.html,0/100 (bibliography metadata page, not the article)
stonehouse1954-biographical-memoir,J. Gresham Machen: A Biographical Memoir,J. Gresham Machen: A Biographical Memoir,Ned B. Stonehouse,1954,en,Internet Archive search; OPC eBook page; WorldCat,https://www.opc.org/books/eBooks/J_Gresham_Machen.epub (listed by OPC; not fetched -- see note),epub/print,no,n/a (book-length),no,"OPC lists an ePub of this book but this session did not attempt to fetch or parse a proprietary ebook format via curl; no plain-text or HTML full copy located on Internet Archive (searched, no matching item) or elsewhere. Roster's suggested source for the address; not confirmed to contain the full 1929 address text distinct from the periodical original",Ned Stonehouse "J. Gresham Machen: A Biographical Memoir" archive.org full text,,
wts-1929-30-catalogue,Westminster Theological Seminary first catalogue 1929-30,Catalogue of Westminster Theological Seminary 1929-30,Westminster Theological Seminary,1929 or 1930,en,Westminster Seminary Montgomery Library; Internet Archive; HathiTrust,NONE,print-only / archive-only as far as located,no,n/a,yes,"No digitized copy found in any general repository. Montgomery Library (wts.edu/library) is named by the roster as the holding archive but its online finding aids (montgomerylibrary.libraryhost.com) were not searched for a specific item-level record this session beyond the general web search; BLOCKED, request procedure not filed this session",Westminster Theological Seminary catalogue 1929-1930,,
wts-1937-38-catalogue-via-rian,Catalogue of Westminster Theological Seminary 1937-38 (quoted secondhand),Catalogue of Westminster Theological Seminary 1937-38,Westminster Theological Seminary,1937 or 1938,en,quoted within Rian 1940 (see rian1940-ch4),NONE,quoted excerpt only,no,one paragraph quoted at p. 14 of the original catalogue,yes,"Not independently located; only the paragraph Rian quotes (on why the seminary was founded) was recovered, via rian1940-ch4",Westminster Theological Seminary catalogue 1929-1930,,
rian1940-ch4,"Rian, The Presbyterian Conflict, ch. 4 'Westminster Theological Seminary'",The Presbyterian Conflict,Edwin H. Rian,1940 (book); OPC web edition undated,en,Orthodox Presbyterian Church website (book reproduction),https://www.opc.org/books/conflict/ch4.html,html,yes,~5,860 words (full chapter),no,"Rian was a founding board member of Westminster and an eyewitness; secondary published history, itself quoting the primary address and catalogue with page citations in its endnotes",Machen 1929 opening address seminary,text/rian1940-ch4.txt,0/100 (born-digital HTML; no OCR)
