document_id,target_document,title_as_catalogued,author,date,language,repository,url_or_shelfmark,format,full_text_available,pages_or_extent,is_primary,edition_notes,found_by_search_string,fetched_file,ocr_error_rate
wbt-sil-history,SIL/WBT doctrinal statement and statement of purpose (1934-42),Our History (SIL Global "About Us" page),SIL Global (organization),n.d. (accessed 2026-09-07),en,SIL Global website,https://www.sil.org/about/history,html,yes,1 web page,no,"Present-day institutional history page; gives 1930s-decade summary only, not a 1934/1942 primary document.",WebSearch: '"Summer Institute of Linguistics" history 1934 wycliffe.org founding',text/wbt-sil-history.txt,0/100 (born-digital HTML; no OCR)
pike-pilgrimage,Townsend's early letters / Camp Wycliffe first-session accounts,"Cameron Townsend and Wycliffe, by Kenneth L. Pike, in My Pilgrimage in Mission",Kenneth L. Pike (1912-2000),n.d. (reminiscence of 1934-35; posted by SIL),en,SIL Global website,https://www.sil.org/about/klp/publications/my-pilgrimage-mission/cameron-townsend-and-wycliffe,html,yes,1 web page,yes,"First-person memoir by an early Camp Wycliffe/SIL member (1935) and later SIL president; treated as PRIMARY (founder-generation eyewitness account) though written decades after the events.",WebSearch: '"Camp Wycliffe" 1934 Sulphur Springs Arkansas Townsend Legters founding',text/pike-pilgrimage.txt,0/100 (born-digital HTML; no OCR)
wycliffe-our-story,General/background,"Our Story: A Brief History of Wycliffe Bible Translators",Wycliffe Bible Translators USA (organization),n.d. (accessed 2026-09-07),en,Wycliffe.org website,https://www.wycliffe.org/our-story,html,yes,1 web page,no,Present-day institutional "About" page.,WebSearch: '"Camp Wycliffe" 1934 Sulphur Springs Arkansas Townsend Legters founding',text/wycliffe-our-story.txt,0/100 (born-digital HTML; no OCR)
wycliffe-our-beliefs,SIL/WBT doctrinal statement and statement of purpose (1934-42),Our Beliefs (Statement of Faith and Core Values),Wycliffe Bible Translators USA (organization),"n.d. (current statement, undated on page; accessed 2026-09-07)",en,Wycliffe.org website,https://www.wycliffe.org/about/our-beliefs,html,yes,1 web page,yes,"Used in charter_abridged.md as the closest available doctrinal-basis document, explicitly flagged as the ORGANIZATION'S CURRENT statement, not the 1934/1942 founding-era doctrinal statement (which could not be located this session).",WebSearch: 'Wycliffe Bible Translators statement of faith site:wycliffe.org OR site:sil.org',text/wycliffe-our-beliefs.txt,0/100 (born-digital HTML; no OCR)
eoa-townsend,Camp Wycliffe first-session announcement (1934) / general founding narrative,"William Cameron ""Uncle Cam"" Townsend (1896-1982)",Encyclopedia of Arkansas staff,"n.d. (in-page citation dated accessed September 7, 2023; article refetched 2026-09-07)",en,Encyclopedia of Arkansas,https://encyclopediaofarkansas.net/entries/william-cameron-uncle-cam-townsend-4453/,html,yes,1 web page,no,"Scholarly state-encyclopedia secondary entry; gives June 1934 date, Sulphur Springs farmhouse detail, two first-session graduates, and a Mark Noll quotation.",WebSearch: '"Camp Wycliffe" 1934 Sulphur Springs Arkansas Townsend Legters founding',text/eoa-townsend.txt,0/100 (born-digital HTML; no OCR)
eoa-sulphur-springs,General/background,Sulphur Springs (Benton County),Encyclopedia of Arkansas staff,n.d. (accessed 2026-09-07),en,Encyclopedia of Arkansas,https://encyclopediaofarkansas.net/entries/sulphur-springs-benton-county-6176/,html,yes,1 web page,no,Corroborates 1934 Camp Wycliffe founding location within a town history.,WebSearch: '"Camp Wycliffe" 1934 Sulphur Springs Arkansas Townsend Legters founding',text/eoa-sulphur-springs.txt,0/100 (born-digital HTML; no OCR)
wiki-townsend,General/background,William Cameron Townsend,Wikipedia contributors,version accessed 2026-09-07,en,Wikipedia,https://en.wikipedia.org/wiki/William_Cameron_Townsend,html,yes,1 web page,no,"Secondary; NPOV-disputed tag present on the live article. Used only for background and to identify further sources (Hefley 1974; Stoll 1983; Colby and Dennett 1996; Hartch 2006).",WebSearch: '"Camp Wycliffe" 1934 Sulphur Springs Arkansas Townsend Legters founding',text/wiki-townsend.txt,0/100 (born-digital HTML; no OCR)
wiki-sil,General/background,SIL Global,Wikipedia contributors,version accessed 2026-09-07,en,Wikipedia,https://en.wikipedia.org/wiki/SIL_Global,html,yes,1 web page,no,Secondary.,WebSearch: '"Summer Institute of Linguistics" history 1934 wycliffe.org founding',text/wiki-sil.txt,0/100 (born-digital HTML; no OCR)
wiki-jimelliot,Elliot papers / catalog cross-reference,Jim Elliot,Wikipedia contributors,version accessed 2026-09-07,en,Wikipedia,https://en.wikipedia.org/wiki/Jim_Elliot,html,yes,1 web page,no,"Secondary; cites Elisabeth Elliot's Shadow of the Almighty (1989 ed.) pp. 128-32 for the Camp Wycliffe/Norman OK 1950 date, which this session could not independently open (see BLOCKED row below).",WebSearch: '"Jim Elliot" "Summer Institute of Linguistics" Norman Oklahoma 1950',text/wiki-jimelliot.txt,0/100 (born-digital HTML; no OCR)
wiki-canonge,General/background,Elliott D. Canonge,Wikipedia contributors,version accessed 2026-09-07,en,Wikipedia,https://en.wikipedia.org/wiki/Elliott_D._Canonge,html,yes,1 web page,no,"Secondary; confirms an SIL session held ""on the campus of Oklahoma State University"" for Canonge and a 1958 Norman-imprint SIL publication, background on SIL's Oklahoma ties (not Camp Wycliffe/Sulphur Springs itself).",WebSearch: '"Jim Elliot" "Summer Institute of Linguistics" Norman Oklahoma 1950',text/wiki-canonge.txt,0/100 (born-digital HTML; no OCR)
