slug,name,founded,tier,part,chapter_order
wittenberg,University of Wittenberg (Reformation curriculum),1518,A,I,1
zurich-prophezei,The Prophezei,1525,A,I,2
strasbourg-academy,Strasbourg Gymnasium/Academy,1538,A,I,3
geneva-academy,Geneva Academy,1559,A,I,4
scotland-first-book-of-discipline,Scotland: First Book of Discipline,1560,A,I,5
leiden,Leiden University,1575,B,I,6
emmanuel-cambridge,Emmanuel College Cambridge,1584,A,I,7
saumur-sedan,French Reformed Academies of Saumur and Sedan,1579,B,I,8
harvard-college,Harvard College,1636,A,II,1
yale-college,Yale College,1701,B,II,2
halle-francke,Francke Foundations and Danish-Halle Mission,1698,A,II,3
herrnhut-moravians,Herrnhut and the Moravian Missions,1722,A,II,4
bristol-baptist-academy,Bristol Baptist Academy,1679,A,II,5
northampton-academy,Doddridge's Northampton Academy,1729,B,II,6
log-college,The Log College,1726,A,II,7
college-of-new-jersey,College of New Jersey (Princeton),1746,A,II,8
trevecca,Trevecca College,1768,B,II,9
baptist-missionary-society,Baptist Missionary Society,1792,A,III,1
london-missionary-society,London Missionary Society,1795,A,III,2
church-missionary-society,Church Missionary Society,1799,A,III,3
andover-seminary,Andover Theological Seminary,1808,A,III,4
abcfm,American Board of Commissioners for Foreign Missions,1810,A,III,5
judson-triennial-convention,Judson and the Baptist Triennial Convention,1814,A,III,6
princeton-seminary,Princeton Theological Seminary,1812,A,III,7
basel-mission,Basel Mission,1815,A,III,8
serampore-college,Serampore College,1818,A,III,9
new-college-edinburgh,New College Edinburgh,1843,B,III,10
pastors-college,The Pastors' College (Spurgeon),1856,A,III,11
southern-baptist-seminary,Southern Baptist Theological Seminary,1859,A,III,12
china-inland-mission,China Inland Mission,1865,A,IV,1
east-london-institute,East London Institute (Harley College),1873,A,IV,2
nyack-mti,Missionary Training Institute Nyack,1882,A,IV,3
moody-bible-institute,Moody Bible Institute,1886,A,IV,4
student-volunteer-movement,Student Volunteer Movement,1886,A,IV,5
aim-sim,Africa Inland Mission and Sudan Interior Mission,1893,B,IV,6
biola,Bible Institute of Los Angeles,1908,B,IV,7
glasgow-bti,Bible Training Institute Glasgow,1892,B,IV,8
prairie-bible-institute,Prairie Bible Institute,1922,A,IV,9
columbia-bible-college,Columbia Bible College,1923,B,IV,10
westminster-seminary,Westminster Theological Seminary,1929,A,IV,11
wycliffe-sil,Wycliffe Bible Translators / SIL,1934,A,V,1
wheaton-college,Wheaton College,1860,A,V,2
cmml-brethren,Christian Missions in Many Lands (Brethren),1921,A,V,3
inter-varsity-urbana,Inter-Varsity and Urbana,1941,B,V,4
new-tribes-mission,New Tribes Mission,1942,B,V,5
maf,Missionary Aviation Fellowship,1945,B,V,6
westminster-chapel-fellowship,Westminster Chapel and Westminster Fellowship,1938,A,VI,1
evangelical-library-ifes-banner,Evangelical Library / IFES / Banner of Truth,1945,B,VI,2
london-theological-seminary,London Theological Seminary,1977,A,VI,3
omf,Overseas Missionary Fellowship,1965,A,VI,4
modern-reformed-seminaries,Modern Reformed Seminaries (appendix),1966,C,VI,5
