ticket_id,slug,step,role,depends_on,status,assignee,output,notes
C-001,,C,Coordinator,,DONE,,directory layout,book/ created
C-002,,C,Coordinator,,DONE,,roster.csv,generated
C-003,,C,Coordinator,C-002,DONE,,tickets.csv,this file
C-004,,C,Coordinator,,TODO,,check_quotes.py installed,
C-005,,C,Human,,TODO,,PD cutoff year confirmed,
C-006,,C,Coordinator,,DONE,,abcfm/judson split decision,"two chapters, cross-referenced"
S-wittenberg,wittenberg,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-wittenberg,wittenberg,F,Fetcher,S,TODO,,"raw/,text/",
E-wittenberg,wittenberg,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-wittenberg,wittenberg,V1,Verifier,E,TODO,,verification.md,
B-wittenberg,wittenberg,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-wittenberg,wittenberg,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-wittenberg,wittenberg,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-wittenberg,wittenberg,V2,Verifier,D,TODO,,verification.md,
ED-wittenberg,wittenberg,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-wittenberg,wittenberg,H,Human,"ED,P",TODO,,status ACCEPTED,
S-zurich-prophezei,zurich-prophezei,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-zurich-prophezei,zurich-prophezei,F,Fetcher,S,TODO,,"raw/,text/",
E-zurich-prophezei,zurich-prophezei,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-zurich-prophezei,zurich-prophezei,V1,Verifier,E,TODO,,verification.md,
B-zurich-prophezei,zurich-prophezei,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-zurich-prophezei,zurich-prophezei,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-zurich-prophezei,zurich-prophezei,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-zurich-prophezei,zurich-prophezei,V2,Verifier,D,TODO,,verification.md,
ED-zurich-prophezei,zurich-prophezei,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-zurich-prophezei,zurich-prophezei,H,Human,"ED,P",TODO,,status ACCEPTED,
S-strasbourg-academy,strasbourg-academy,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-strasbourg-academy,strasbourg-academy,F,Fetcher,S,TODO,,"raw/,text/",
E-strasbourg-academy,strasbourg-academy,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-strasbourg-academy,strasbourg-academy,V1,Verifier,E,TODO,,verification.md,
B-strasbourg-academy,strasbourg-academy,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-strasbourg-academy,strasbourg-academy,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-strasbourg-academy,strasbourg-academy,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-strasbourg-academy,strasbourg-academy,V2,Verifier,D,TODO,,verification.md,
ED-strasbourg-academy,strasbourg-academy,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-strasbourg-academy,strasbourg-academy,H,Human,"ED,P",TODO,,status ACCEPTED,
S-geneva-academy,geneva-academy,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-geneva-academy,geneva-academy,F,Fetcher,S,TODO,,"raw/,text/",
E-geneva-academy,geneva-academy,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-geneva-academy,geneva-academy,V1,Verifier,E,TODO,,verification.md,
B-geneva-academy,geneva-academy,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-geneva-academy,geneva-academy,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-geneva-academy,geneva-academy,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-geneva-academy,geneva-academy,V2,Verifier,D,TODO,,verification.md,
ED-geneva-academy,geneva-academy,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-geneva-academy,geneva-academy,H,Human,"ED,P",TODO,,status ACCEPTED,
S-scotland-first-book-of-discipline,scotland-first-book-of-discipline,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-scotland-first-book-of-discipline,scotland-first-book-of-discipline,F,Fetcher,S,TODO,,"raw/,text/",
E-scotland-first-book-of-discipline,scotland-first-book-of-discipline,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
